Date,1,2,3,4,5,6,7,8,9,10,11,12
2000-06-15,Graco walkers recalled,White likes Motorola,,,,,,,,,,
2000-06-16,Forbes reshuffles rich list,,,,,,,,,,,
2000-06-20,Americas' uneven day,,,,,,,,,,,
2000-06-21,Cardillo selects Tyco GE,,,,,,,,,,,
2000-06-22,Toy phones recalled,,,,,,,,,,,
2000-06-26,Stock picks by the pros,Americas end mixed again,,,,,,,,,,
2000-06-27,U.S. stocks slip,Americas await the Fed,,,,,,,,,,
2000-06-28,Stock picks by the pros,,,,,,,,,,,
2000-06-29,Americas see mixed day,,,,,,,,,,,
2000-07-03,AmeriServe seeks buyer,,,,,,,,,,,
2000-07-04,Harry Potter's here again,,,,,,,,,,,
2000-07-05,Digesting the Dow,,,,,,,,,,,
2000-07-06,Retailers post sales gains,,,,,,,,,,,
2000-07-10,Stock picks by the pros,Brazil and Toronto retreat,,,,,,,,,,
2000-07-11,Scandal rumors in Brazil,,,,,,,,,,,
2000-07-13,Stock picks by the pros,Telecoms boost Europe,,,,,,,,,,
2000-07-14,Wal-Mart exec to retire,,,,,,,,,,,
2000-07-15,Baseball card nets $1.27M,,,,,,,,,,,
2000-07-17,Europe powered by Techs,Brazil moves past scandal,,,,,,,,,,
2000-07-21,Stock picks by the pros,Sears tops 2Q forecasts,Brazil Toronto resurface,,,,,,,,,
2000-07-22,Mixed day in the Americas,,,,,,,,,,,
2000-07-24,Europe ends in the black,,,,,,,,,,,
2000-07-25,Kmart Circuit to revamp,Bovespa up; IPC down,Gun locks recalled,,,,,,,,,
2000-07-26,Mexico and Toronto jump,,,,,,,,,,,
2000-07-27,J.C. Penney appoints CEO,Americas gain marginally,,,,,,,,,,
2000-07-31,Europe enjoys late surge,,,,,,,,,,,
2000-08-01,Nasdaq starts week strong,,,,,,,,,,,
2000-08-03,Melcher avoids AOL,July retail sales mixed,Americas' lackluster trade,Wait on Wal-Mart : Parnes,,,,,,,,
2000-08-04,U.S. rally moves Americas,Stock picks by the pros,,,,,,,,,,
2000-08-05,Talking Stocks of the week,,,,,,,,,,,
2000-08-07,May meets 2Q mark,Eyes back on Nasdaq,,,,,,,,,,
2000-08-09,Wal-Mart warns on 3Q,Wal-Mart  AOL in U.K. pact,Wall St. mulls earnings,,,,,,,,,
2000-08-10,Retailers lower targets,Lands' End 2Q loss alert,Techs the toast on Wall St.,Hot Stocks: Immunex,Americas close in the red,Drug selling hurts Dow,White likes Sycamore,,,,,
2000-08-11,Hot Stocks: Down on Dell,Americas finished mixed,Cisco defuses Nasdaq,,,,,,,,,
2000-08-12,Brazil Mexico move up,Dow jumps 11000 hurdle,Talking Stocks of the week,,,,,,,,,
2000-08-15,Tough times for retailers,Americas surge to gains,,,,,,,,,,
2000-08-16,Dow takes a breather,,,,,,,,,,,
2000-08-17,A leaner meaner Sara Lee?,Hot Stocks: Cool Corning,Americas close in the red,Dow deflates for day No. 2,,,,,,,,
2000-08-18,If you grow it,Nasdaq powered by Intel,,,,,,,,,,
2000-08-19,Americas move contrarily,,,,,,,,,,,
2000-08-21,Late rally aids Europe,,,,,,,,,,,
2000-08-22,Pan Pacific buys Western,Hyman: Hold Nokia TI,Fed in focus as stocks gain,,,,,,,,,
2000-08-23,Grocery stocks spoil,Dillard's misses forecast,,,,,,,,,,
2000-08-24,Stocks: Gems amid the wrecks,,,,,,,,,,,
2000-08-25,Americas' uneven day,News from Latin America,Stock picks by the pros,,,,,,,,,
2000-08-26,Fight unnecessary chargebacks,Americas charge ahead,Talking Stocks of the week,,,,,,,,,
2000-08-28,An e-answer for bookshops,,,,,,,,,,,
2000-08-29,Amazon to go it alone,Americas end mostly lower,,,,,,,,,,
2000-08-30,Whirlpool warns on 3Q 4Q,Americas' mixed day,,,,,,,,,,
2000-08-31,Target Penney warn,Retailers post mixed sales,Americas' lackluster trade,,,,,,,,,
2000-09-01,Americas sustain gains,Wall St. sizzles in August,,,,,,,,,,
2000-09-06,Americas lose ground,Nasdaq tumbles 2 percent,,,,,,,,,,
2000-09-07,Americas' mixed day,,,,,,,,,,,
2000-09-08,Game buyers get carded,,,,,,,,,,,
2000-09-09,Americas on the slide,Stock picks by the pros,,,,,,,,,,
2000-09-11,Warner sets Net music plan,Sears chief eyes growth,Wall St. mixes it up,Germany raps Wal-Mart,,,,,,,,
2000-09-12,Hot Stocks: Bye Bye PRI,Nasdaq plunges; Dow off,,,,,,,,,,
2000-09-13,The House of Morgan,,,,,,,,,,,
2000-09-14,Playskool recalls toy,,,,,,,,,,,
2000-09-20,Street Talk: Mixed chips,Nasdaq surges 130 points,,,,,,,,,,
2000-09-21,KMC files for $200M IPO,,,,,,,,,,,
2000-09-22,Nasdaq nose-dives,,,,,,,,,,,
2000-09-26,Kmart hires new ad agency,Home Depot eyes Kingfisher,,,,,,,,,,
2000-09-27,Wall St. losses continue,,,,,,,,,,,
2000-09-28,Street Talk: Exodus exits,Small-town mall on Web,,,,,,,,,,
2000-10-02,Wal-Mart sales rise,Street Talk: Highlight lists,,,,,,,,,,
2000-10-03,Wal-Mart sets expansion,Izuel bearish on Ericsson,,,,,,,,,,
2000-10-04,The business of fright,Altabef watching Wal-Mart,,,,,,,,,,
2000-10-05,Penney warns about 3Q,Americas' solid gains,,,,,,,,,,
2000-10-06,Investors dump retail cart,Americas on the rise,,,,,,,,,,
2000-10-09,Stock picks by the pros,Street Talk: Eyes on EDS,,,,,,,,,,
2000-10-11,Nordstrom warns on 3Q,Losses in the Americas,,,,,,,,,,
2000-10-12,Home Depot stock sinks,Year of the big stock drop,,,,,,,,,,
